street_address,phone_number,zip_code,has_501c3,fips_county_code,bed_count,city,state_or_region,name_common,name_legal,ccn,facility_type,medicare_medicaid_eligible,lat,lon,ein
118 south mountain avenue,9283334368,85938,,1,25,springerville,AZ,white mountain regional medical center,,031315,Critical Access Hospitals,true,,,
1200 west mohave road,9286699201,85344,,012,25,parker,AZ,la paz regional hospital,,031317,Critical Access Hospitals,true,,,
807 south ponderosa drive,9284713222,85541,,7,44,payson,AZ,banner payson medical center,,031318,Critical Access Hospitals,true,,,
1600 south 20th avenue,9283484000,85546,,9,25,safford,AZ,mt. graham regional medical center,,031319,Critical Access Hospitals,true,,,
13060 west bell,9724142872,85378,true,013,116,surprise,AZ,pam health specialty hospital of surprise,,032000,Long Term,true,,,
"350 west thomas road, 3rd floor",6024066810,85013,true,013,48,phoenix,AZ,select specialty hospital phoenix,,032001,Long Term,true,,,
2025 w orange grove road,5205844500,85704,true,019,51,tucson,AZ,select specialty hospital-tucson northwest,,032002,Long Term,true,,,
7220 east rosewood street,4696216700,85710,true,019,34,tucson,AZ,cornerstone specialty hospitals tucson,,032004,Long Term,true,,,
"1111 east mcdowell rd, 11th floor",7179721100,85006,true,013,62,phoenix,AZ,select specialty hospital arizona,,032005,Long Term,true,,,
433 east 6th street,4804273000,85203,true,013,48,mesa,AZ,"kpc promise hospital of phoenix, llc",,032006,Long Term,true,,,
9630 east shea boulevard,4805515400,85260,true,013,60,scottsdale,AZ,encompass health rehab hospital of scottsdale,,033025,Rehabilitation,true,,,
2650 north wyatt drive,5203251300,85712,true,019,80,tucson,AZ,encompass health rehabilitation institute of tucso,,033028,Rehabilitation,true,,,
1921 west hospital drive,5207422800,85704,true,019,60,tucson,AZ,encompass health rehabilitation hospital of northw,,033029,Rehabilitation,true,,,
13460 north 67th avenue,6238788800,85304,true,013,75,glendale,AZ,encompass health valley of the sun rehab hospital,,033032,Rehabilitation,true,,,
901 west 24th street,9287265000,85364,true,027,51,yuma,AZ,"yuma rehabilitation hospital,an affiliation of enc",,033034,Rehabilitation,true,,,
3700 north windsong drive,9287598800,86314,,025,44,prescott valley,AZ,mountain valley regional rehabilitation hospital,,033036,Rehabilitation,true,,,
5652 east baseline road,4805670350,85206,true,013,60,mesa,AZ,encompass health rehabilitation hospital of east v,,033037,Rehabilitation,true,,,
8850 east pima center parkway,7179754503,85258,true,013,50,scottsdale,AZ,"globalrehab - scottsdale, llc",,033038,Rehabilitation,true,,,
13060 west bell road,6234999100,85378,true,013,40,surprise,AZ,pam health rehabilitation hospital of surprise,,033039,Rehabilitation,true,,,
1515 west chandler boulevard,6025945400,85224,true,013,50,chandler,AZ,dignity health east valley rehabilitation hospital,,033040,Rehabilitation,true,,,
1851 north gemini drive,9287747070,86001,true,5,40,flagstaff,AZ,rehabilitation hospital of northern arizona,,033041,Rehabilitation,true,,,
12740 north plaza del rio boulevard,7179754503,85381,true,013,56,peoria,AZ,banner rehabilitation hospital-west,,033042,Rehabilitation,true,,,
1675 east villa street,4696406503,85006,true,013,48,phoenix,AZ,reunion rehabilitation hospital phoenix llc,,033043,Rehabilitation,true,,,
1919 east thomas road,6029331000,85016,,013,435,phoenix,AZ,phoenix children's hospital,,033302,Childrens Hospitals,true,,,
7575 east earll drive,4804487500,85251,,013,156,scottsdale,AZ,banner behavioral health hospital,,034004,Psychiatric,true,,,
1800 east van buren,6022518535,85006,true,013,127,phoenix,AZ,"st. luke's behavioral hospital, lp",,034013,Psychiatric,true,,,
"1201 south 7th avenue, suite 200",6232362000,85007,true,013,57,phoenix,AZ,haven behavioral hospital of phoenix,,034020,Psychiatric,true,,,
2500 east van buren street,6022206000,85008,true,013,475,phoenix,AZ,arizona state hospital,,034021,Psychiatric,true,,,
6050 north corona road,5204698700,85704,true,019,140,tucson,AZ,sonora behavioral health hospital,,034022,Psychiatric,true,,,
2187 north vickey street,9285271899,86004,,5,16,flagstaff,AZ,the guidance center,,034023,Psychiatric,true,,,
6015 west peoria  avenue,6233444400,85302,true,013,100,glendale,AZ,aurora behavioral health system,,034024,Psychiatric,true,,,
3347 north windsong drive,9288997343,86314,true,025,16,prescott valley,AZ,windhaven psychiatric hospital,,034025,Psychiatric,true,,,
3550 east pinchot avenue,6029523900,85018,,013,122,phoenix,AZ,valley hospital,,034026,Psychiatric,true,,,
1920 west commerce drive,9283684110,85929,,017,16,lakeside,AZ,changepoint psychiatric hospital,,034027,Psychiatric,true,,,
6350 south maple avenue,4803455400,85283,true,013,138,tempe,AZ,aurora behavioral healthcare-tempe,,034028,Psychiatric,true,,,
"2190 north grace boulevard, building a",4809179301,85225,true,013,82,chandler,AZ,oasis behavioral health hospital,,034029,Psychiatric,true,,,
2695 north craycroft road,5203222888,85712,,019,84,tucson,AZ,palo verde behavioral health,,034030,Psychiatric,true,,,
2545 west quail avenue,6024555700,85027,,013,102,phoenix,AZ,quail run behavioral health,,034031,Psychiatric,true,,,
10550 west mcdowell road,4805653035,85392,true,013,72,avondale,AZ,"copper springs hospital, llc",,034032,Psychiatric,true,,,
1400 north wilmot road,5202228268,85712,true,019,36,tucson,AZ,cornerstone behavioral health el dorado,,034033,Psychiatric,true,,,
17300 north dysart road,6232333000,85378,true,013,92,surprise,AZ,destiny springs healthcare,,034034,Psychiatric,true,,,
16561 north parkview place,4802299894,85374,true,013,32,surprise,AZ,avenir behavioral health center,,034035,Psychiatric,true,,,
181 whipple street,9282273424,86301,true,025,24,prescott,AZ,"medical behavioral hospital of northern arizona, l",,034036,Psychiatric,true,,,
831 landon drive,9284046012,86429,true,015,24,bullhead city,AZ,talas harbor at bullhead city,,034037,Psychiatric,true,,,
1346 east mcdowell road,8333120320,85006,true,013,94,phoenix,AZ,"phoenix medical psychiatric hospital, llc",,034038,Psychiatric,true,,,
1407 south 9th avenue,2532414992,85007,true,013,40,phoenix,AZ,talas harbor at buckeye,,034039,Psychiatric,true,,,
9160 east horseshoe rd,4804767000,85258,true,013,120,scottsdale,AZ,via linda behavioral hospital,,034040,Psychiatric,true,,,
1501 north campbell avenue,5206940111,85724,,019,0,tucson,AZ,banner university medical ctr at the az health sc,,039800,Transplant Hospitals,true,,,
5777 east mayo boulevard,4803421900,85054,,013,0,phoenix,AZ,mayo clinic hospital,,039801,Transplant Hospitals,true,,,
"1300 north 12th street, suite 404",6022392716,85006,,013,0,phoenix,AZ,banner good samaritan medical center,,039802,Transplant Hospitals,true,,,
"350 west thomas road, suite #500",6024063792,85013,,013,0,phoenix,AZ,st joseph's hospital and medical center,,039803,Transplant Hospitals,true,,,
1919 east thomas road,6029331000,85016,,013,0,phoenix,AZ,phoenix childrens hospital,,039804,Transplant Hospitals,true,,,
603 north progress avenue,4795244141,72761,,7,73,siloam springs,AR,siloam springs regional hospital,,040001,Short Term,true,,,
1100 east poplar street,4797545454,72830,,071,90,clarksville,AR,johnson regional medical center,,040002,Short Term,true,,,
3215 n north hills boulevard,4794635113,72703,,143,425,fayetteville,AR,washington regional medical center,,040004,Short Term,true,,,
two st vincent circle,5015523000,72205,,119,615,little rock,AR,chi-st vincent infirmary,,040007,Short Term,true,,,
2710 south rife medical lane,4793388000,72758,,7,275,rogers,AR,mercy hospital northwest arkansas,,040010,Short Term,true,,,
719 detroit street,4794952241,72833,,149,42,danville,AR,chambers memorial hospital,,040011,Short Term,true,,,
3214 east race avenue,5012783100,72143,,145,571,searcy,AR,unity health white county medical center,,040014,Short Term,true,,,
311 north morrow street,4793946100,71953,,113,65,mena,AR,mena regional health system,,040015,Short Term,true,,,
4301 west markham street mail slot 612,5016865000,72205,true,119,450,little rock,AR,uams medical center,,040016,Short Term,true,,,
620 north main street,8704144000,72601,,9,174,harrison,AR,north arkansas regional medical center,,040017,Short Term,true,,,
211 crawford memorial drive,4794743401,72956,,033,103,van buren,AR,baptist health - van buren,,040018,Short Term,true,,,
1601 newcastle road,8702610000,72335,true,123,118,forrest city,AR,forrest city medical center,,040019,Short Term,true,,,
225 e washiington avenue,8709724100,72401,,031,440,jonesboro,AR,st bernards medical center,,040020,Short Term,true,,,
609 west maple avenue,4797515711,72764,true,143,414,springdale,AR,northwest medical center,,040022,Short Term,true,,,
300 werner street,5016221000,71903,true,051,282,hot springs,AR,chi st. vincent hospital hot springs,,040026,Short Term,true,,,
624 hospital drive,8705081000,72653,,5,268,mountain home,AR,baxter regional medical center,,040027,Short Term,true,,,
2302 college avenue,5013293831,72034,,045,150,conway,AR,"conway regional medical center, inc",,040029,Short Term,true,,,
3333 springhill drive,5012023000,72117,,119,225,north little rock,AR,baptist health medical center north little rock,,040036,Short Term,true,,,
900 west kingshighway,8702397000,72450,,055,129,paragould,AR,arkansas methodist medical center,,040039,Short Term,true,,,
1808 west main street,4799682841,72801,true,115,170,russellville,AR,st marys regional medical center,,040041,Short Term,true,,,
2801 medical center drive,8708926000,72455,,121,50,pocahontas,AR,five rivers medical center,,040047,Short Term,true,,,
638 california avenue,8708361000,71701,,103,98,camden,AR,ouachita county medical center,,040050,Short Term,true,,,
778 scogin drive,8703672411,71655,,043,60,monticello,AR,drew memorial health system,,040051,Short Term,true,,,
1001 towson avenue,4794414000,72901,,131,492,fort smith,AR,baptist health - fort smith,,040055,Short Term,true,,,
7301 rogers ave,4793146000,72903,,131,360,fort smith,AR,mercy hospital fort smith,,040062,Short Term,true,,,
101 hospital drive,8702353000,71753,,027,70,magnolia,AR,magnolia regional medical center,,040067,Short Term,true,,,
1520 n division street,8708387300,72315,,093,168,blytheville,AR,great river medical center,,040069,Short Term,true,,,
1600 west 40th avenue,8705417100,71603,,069,300,pine bluff,AR,jefferson regional medical center,,040071,Short Term,true,,,
1703 north buerkle st,8706733511,72160,,1,49,stuttgart,AR,baptist health medical center-stuttgart,,040072,Short Term,true,,,
1001 schneider drive,5013321000,72104,,059,72,malvern,AR,baptist health medical center-hot springs county,,040076,Short Term,true,,,
1910 malvern avenue,5013211000,71901,true,051,163,hot springs,AR,national park medical center,,040078,Short Term,true,,,
#1 medical park drive,5017766000,72015,true,125,177,benton,AR,saline memorial hospital,,040084,Short Term,true,,,
1801 martin luther king jr drive,8703385800,72342,true,107,155,helena,AR,helena regional medical center,,040085,Short Term,true,,,
700 west grove street,8708632000,71730,true,139,149,el dorado,AR,medical center of south arkansas,,040088,Short Term,true,,,
blytheville afb,,72315,,093,25,blytheville,AR,us air force hosp,,04008F,,false,,,
1100 n college ave,,72701,,143,254,fayetteville,AR,va hosp,,04009F,,false,,,
300 e roosevelt rd,,72206,,119,471,little rock,AR,va hosp,,04010F,,false,,,
9601 interstate,5012022000,72205,,119,807,little rock,AR,baptist health medical center-little rock,,040114,Short Term,true,,,
4800 east johnson avenue,8709727000,72405,,1,228,jonesboro,AR,nea baptist memorial hospital,,040118,Short Term,true,,,
1710 harrison street,8702621200,72503,,063,224,batesville,AR,white river medical center,,040119,Short Term,true,,,
300 e roosevelt rd,,72114,,119,2062,north little rock,AR,va hosp,,04011F,,false,,,
300 prospect ave,5016241281,71901,,051,50,hot springs,AR,levi hospital,,040132,Short Term,true,,,
1701 s shackleford road,5012197000,72211,true,119,110,little rock,AR,"arkansas heart hospital, llc",,040134,Short Term,true,,,
2215 wildwood avenue,5015527100,72120,true,119,69,sherwood,AR,st vincent medical center/north,,040137,Short Term,true,,,
,,72201,,119,40,little rock,AR,us air force dispensary,,04013F,,false,,,
5201 north shore drive,5017488000,72118,,119,47,no little rock,AR,arkansas surgical hospital,,040147,Short Term,true,,,
3873 north parkview drive,4795717002,72703,true,143,21,fayetteville,AR,northwest health physicians specialty hospital,,040152,Short Term,true,,,
2001 south main,8707223800,71801,true,057,79,hope,AR,wadley regional medical center at hope,,040153,Short Term,true,,,
1555 exchange avenue,5015852000,72032,,045,111,conway,AR,baptist health medical center- conway,,040154,Short Term,true,,,
"3024 red wolfe boulevard, suite 1",8708194040,72401,true,031,44,jonesboro,AR,arkansas continued care hospital of jonesboro,,040155,Short Term,true,,,
2100 north seventh street,8703947800,72301,,035,11,west memphis,AR,"baptist memorial hospital-crittenden, inc",,040156,Short Term,true,,,
1310 centerview drive,5014101127,72211,true,119,1,little rock,AR,"centerview surgery center, llc",,040157,Short Term,true,,,
"5800 west tenth street, suite 206",5016610071,72204,,119,1,little rock,AR,legacy surgery center,,040158,Short Term,true,,,
1901 encore way,5012134500,72022,true,125,25,bryant,AR,arkansas heart hospital-encore,,040161,Short Term,true,,,
1205 mclain street,8705238911,72112,,067,133,newport,AR,unity health newport,,040163,Short Term,true,,,
,,72032,,045,0,conway,AR,arkansas childrens colony hosp,,04020E,,false,,,
,,72020,,145,8,bradford,AR,smith hosp,,04022E,,false,,,
500 east academy,4799636101,72855,,083,13,paris,AR,mercy hospital paris,,041300,Critical Access Hospitals,true,,,
200 north third street,4792294677,72834,,149,35,dardanelle,AR,dardanelle regional medical center,,041302,Critical Access Hospitals,true,,,
801 west river street,4796674138,72949,,047,25,ozark,AR,mercy hospital ozark,,041303,Critical Access Hospitals,true,,,
24 norris street,4792537400,72632,,015,15,eureka springs,AR,eureka springs hospital commission,,041304,Critical Access Hospitals,true,,,
1341 west sixth street,4796374135,72958,,127,24,waldron,AR,mercy hospital waldron,,041305,Critical Access Hospitals,true,,,
61 grasse street,8702972400,72519,true,065,25,calico rock,AR,"izard county medical center, llc",,041306,Critical Access Hospitals,true,,,
310 south falls boulevard,8702383300,72396,,037,25,wynne,AR,crossridge community hospital,,041307,Critical Access Hospitals,true,,,
900 south third street,8702225600,71654,,041,25,mcgehee,AR,mcgehee hospital,,041308,Critical Access Hospitals,true,,,
1309 west main street,8708861200,72476,,075,25,walnut ridge,AR,lawrence memorial hospital,,041309,Critical Access Hospitals,true,,,
2106 east main street,8702694361,72560,,137,25,mountain view,AR,stone county medical center,,041310,Critical Access Hospitals,true,,,
130 medical circle,8708454400,71852,,061,25,nashville,AR,howard memorial hospital,,041311,Critical Access Hospitals,true,,,
1800 bypass road,5018873000,72543,,023,25,heber springs,AR,baptist health medical center heber spings,,041312,Critical Access Hospitals,true,,,
2500 highway 65 south,5017457000,72031,,141,25,clinton,AR,ozark health,,041313,Critical Access Hospitals,true,,,
1641 whitehead drive,8709463571,72042,,1,25,de witt,AR,"dewitt hospital & nursing home, inc",,041314,Critical Access Hospitals,true,,,
611 west lee avenue,8705637000,72370,,093,25,osceola,AR,south missississpi county regional medical center,,041316,Critical Access Hospitals,true,,,
201 clifton street,8703526300,71742,,039,25,fordyce,AR,dallas county medical center,,041317,Critical Access Hospitals,true,,,
